symbol,module,params,signal_date,entry_date,entry_price,exit_date,exit_price,r_net,entry_reason,exit_reason,trend_stage,benchmark_clock_type
518850.SS,B,63/10%,2021-08-12,2021-08-13,3.631,2021-08-16,3.657,0.3556,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,0,3
518850.SS,B,63/10%,2021-10-14,2021-10-15,3.686,2021-10-19,3.625,-0.9467,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,1,4
518850.SS,B,63/10%,2021-10-21,2021-10-22,3.643,2021-10-28,3.641,-0.4138,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,0,4
518850.SS,B,63/10%,2021-12-06,2021-12-07,3.635,2021-12-08,3.629,-0.4848,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,0,4
518850.SS,B,63/10%,2021-12-17,2021-12-20,3.673,2021-12-22,3.634,-0.6049,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,1,3
518850.SS,B,63/10%,2021-12-31,2022-01-04,3.681,2022-01-10,3.64,-1.5,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,structure_stop_C,2,3
518850.SS,B,63/10%,2022-02-07,2022-02-08,3.668,2022-04-07,3.881,5.4865,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,0,3
518850.SS,A,cm0.5+shrink,2023-03-01,2023-03-02,4.055,2023-05-29,4.326,20.0769,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,1,2
518850.SS,A,cm0.5+shrink,2023-04-26,2023-04-27,4.353,2023-05-04,4.4,2.0556,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,2
518850.SS,A,cm0.5+shrink,2023-06-01,2023-06-02,4.4,2023-06-06,4.38,-0.7143,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,1,3
518850.SS,A,cm0.5+shrink,2023-06-12,2023-06-13,4.421,2023-06-16,4.371,-1.5789,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,structure_stop_C,1,4
518850.SS,A,cm0.5+shrink,2023-07-04,2023-07-05,4.379,2023-08-11,4.418,7.25,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,1,4
518850.SS,A,cm0.5+shrink,2023-07-19,2023-07-20,4.495,2023-08-11,4.418,-1.0357,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2023-08-23,2023-08-24,4.568,2023-10-09,4.476,-0.8361,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2023-10-18,2023-10-19,4.563,2023-11-21,4.535,-0.5429,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,1,4
518850.SS,A,cm0.5+shrink,2023-11-15,2023-11-16,4.582,2023-11-21,4.535,-3.1667,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,4
518850.SS,A,cm0.5+shrink,2023-11-28,2023-11-29,4.614,2023-12-13,4.56,-0.8767,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,1,4
518850.SS,A,cm0.5+shrink,2023-12-08,2023-12-11,4.573,2023-12-11,4.573,0.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,invalid_nonpositive_risk,4,4
518850.SS,A,cm0.5+shrink,2023-12-21,2023-12-22,4.641,2024-01-23,4.645,-0.0938,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2024-01-19,2024-01-22,4.67,2024-01-23,4.645,-1.0,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2024-02-02,2024-02-05,4.669,2024-02-05,4.669,0.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,invalid_nonpositive_risk,4,4
518850.SS,A,cm0.5+shrink,2024-02-27,2024-02-28,4.66,2024-05-10,5.341,61.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2024-02-27,2024-02-28,4.66,2024-05-10,5.341,61.0,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2024-02-29,2024-03-01,4.684,2024-05-10,5.341,23.1071,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,4
518850.SS,B,63/10%,2024-03-05,2024-03-06,4.822,2024-05-10,5.341,5.9186,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2024-04-24,2024-04-25,5.312,2024-05-10,5.341,0.2923,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,4,3
518850.SS,A,cm0.5+shrink,2024-07-31,2024-08-01,5.55,2024-08-06,5.383,-1.0114,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,3
518850.SS,A,cm0.5+shrink,2024-08-01,2024-08-02,5.495,2024-08-06,5.383,-1.7429,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,3
518850.SS,A,cm0.5+shrink,2024-08-13,2024-08-14,5.497,2024-11-14,5.739,2.9367,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,1,4
518850.SS,A,cm0.5+shrink,2024-09-06,2024-09-09,5.517,2024-11-14,5.739,6.625,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2024-09-13,2024-09-18,5.642,2024-11-14,5.739,0.8447,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,4
518850.SS,A,cm0.5+shrink,2024-12-25,2024-12-26,5.975,2025-01-02,5.994,0.2432,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,4,1
518850.SS,A,cm0.5+shrink,2024-12-25,2024-12-26,5.975,2025-01-02,5.994,0.25,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,4,1
518850.SS,A,cm0.5+shrink,2024-12-27,2024-12-30,5.963,2024-12-31,5.939,-8.5,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,1
518850.SS,A,cm0.5+shrink,2024-12-27,2024-12-30,5.963,2024-12-31,5.939,-8.5,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,1
518850.SS,A,cm0.5+shrink,2025-03-06,2025-03-07,6.549,2025-03-12,6.544,-1.5,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,2
518850.SS,A,cm0.5+shrink,2025-08-05,2025-08-06,7.516,2025-08-13,7.439,-1.74,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,2
